it,sampling_method,dataset,rotulo,loss_strategy,size,Macro F1
4,At random,yelp,At random,batl,2500,6.733479565030094
5,At random,airbnb,At random,batl,2500,5.232149096730461
5,At random,yelp,At random,batl,2500,6.579067659553378
5,At random,airbnb,At random,batl,2500,5.374001746633461
5,At random,yelp,At random,batl,2500,6.064570676246628
5,At random,airbnb,At random,batl,2500,5.784860908496804
5,At random,yelp,At random,batl,2500,7.035670488017782
5,At random,airbnb,At random,batl,2500,7.164613004319826
5,At random,yelp,At random,batl,2500,7.224381029230513
5,At random,airbnb,At random,batl,2500,6.372114869121736
5,At random,yelp,At random,batl,2500,5.288438476175492
5,At random,airbnb,At random,batl,2500,6.482015832474152
5,At random,yelp,At random,batl,2500,6.995566024712596
1,At random,airbnb,At random,batl,5000,11.35883540335833
1,At random,yelp,At random,batl,5000,13.9867006436097
1,At random,airbnb,At random,batl,5000,12.215747061149672
1,At random,yelp,At random,batl,5000,10.581827810752248
1,At random,airbnb,At random,batl,5000,10.16895190649707
1,At random,yelp,At random,batl,5000,14.172922703698529
1,At random,airbnb,At random,batl,5000,14.293486135866054
1,At random,yelp,At random,batl,5000,12.740395518907327
1,At random,airbnb,At random,batl,5000,10.026305910569816
1,At random,yelp,At random,batl,5000,14.311780711965795
1,At random,airbnb,At random,batl,5000,14.54908694620282
1,At random,yelp,At random,batl,5000,14.829608428249598
2,At random,airbnb,At random,batl,5000,14.79272801432041
2,At random,yelp,At random,batl,5000,11.782245005655021
2,At random,airbnb,At random,batl,5000,14.146138372597063
2,At random,yelp,At random,batl,5000,12.9158561364318
2,At random,airbnb,At random,batl,5000,10.855424651821625
2,At random,yelp,At random,batl,5000,10.097200495029742
2,At random,airbnb,At random,batl,5000,12.908118688122459
2,At random,yelp,At random,batl,5000,11.522457367765261
2,At random,airbnb,At random,batl,5000,10.084522424381804
2,At random,yelp,At random,batl,5000,11.823280401030404
2,At random,airbnb,At random,batl,5000,14.169890245884421
2,At random,yelp,At random,batl,5000,10.84085899550528
3,At random,airbnb,At random,batl,5000,14.94815549787771
3,At random,yelp,At random,batl,5000,10.129334970168388
3,At random,airbnb,At random,batl,5000,10.701993750441936
3,At random,yelp,At random,batl,5000,11.46193373391978
3,At random,airbnb,At random,batl,5000,10.595499727197671
3,At random,yelp,At random,batl,5000,11.950822492680558
3,At random,airbnb,At random,batl,5000,11.512227766467872
3,At random,yelp,At random,batl,5000,12.960604660852743
3,At random,airbnb,At random,batl,5000,11.308135831600037
3,At random,yelp,At random,batl,5000,12.375923491025448
3,At random,airbnb,At random,batl,5000,11.721288613311765
3,At random,yelp,At random,batl,5000,13.56618522737096
4,At random,airbnb,At random,batl,5000,12.028317153253575
4,At random,yelp,At random,batl,5000,11.196541977297015
4,At random,airbnb,At random,batl,5000,13.34737613107024
4,At random,yelp,At random,batl,5000,10.577350835259372
4,At random,airbnb,At random,batl,5000,10.2281826475394
4,At random,yelp,At random,batl,5000,11.704120435740734
4,At random,airbnb,At random,batl,5000,12.335936698382765
4,At random,yelp,At random,batl,5000,10.629270317787416
4,At random,airbnb,At random,batl,5000,12.334871392930875
4,At random,yelp,At random,batl,5000,11.869327283341878
4,At random,airbnb,At random,batl,5000,12.05666177325803
4,At random,yelp,At random,batl,5000,10.819680086925837
5,At random,airbnb,At random,batl,5000,12.696676407521052
5,At random,yelp,At random,batl,5000,14.646191101177585
5,At random,airbnb,At random,batl,5000,14.93947563427117
5,At random,yelp,At random,batl,5000,11.999523857338621
5,At random,airbnb,At random,batl,5000,12.770884249659058
5,At random,yelp,At random,batl,5000,13.203657625237312
5,At random,airbnb,At random,batl,5000,13.741943256547884
5,At random,yelp,At random,batl,5000,13.078506431160164
5,At random,airbnb,At random,batl,5000,14.623858889784364
5,At random,yelp,At random,batl,5000,11.606329427423548
5,At random,airbnb,At random,batl,5000,10.929821231536765
5,At random,yelp,At random,batl,5000,11.384178474480874
1,At random,airbnb,At random,batl,10000,24.001624818942798
1,At random,yelp,At random,batl,10000,26.181860749421347
1,At random,airbnb,At random,batl,10000,24.30008442192024
1,At random,yelp,At random,batl,10000,27.487730835954622
1,At random,airbnb,At random,batl,10000,25.946186697288322
1,At random,yelp,At random,batl,10000,27.302697613674415
1,At random,airbnb,At random,batl,10000,26.59566053682207
1,At random,yelp,At random,batl,10000,26.841469418033693
1,At random,airbnb,At random,batl,10000,22.925343677772812
1,At random,yelp,At random,batl,10000,21.525722995318972
1,At random,airbnb,At random,batl,10000,23.938886700961152
1,At random,yelp,At random,batl,10000,26.191443299315136
2,At random,airbnb,At random,batl,10000,23.092162629507655
2,At random,yelp,At random,batl,10000,22.03842628182938
2,At random,airbnb,At random,batl,10000,20.605549063019073
2,At random,yelp,At random,batl,10000,25.03361641272647
2,At random,airbnb,At random,batl,10000,21.42328244395313
2,At random,yelp,At random,batl,10000,24.51990278956305
2,At random,airbnb,At random,batl,10000,25.946568325180763
2,At random,yelp,At random,batl,10000,21.373350428979926
2,At random,airbnb,At random,batl,10000,20.107416607537303
2,At random,yelp,At random,batl,10000,25.76825396149079
2,At random,airbnb,At random,batl,10000,20.405045660842422
2,At random,yelp,At random,batl,10000,28.02461858533078
3,At random,airbnb,At random,batl,10000,27.269105014961173
3,At random,yelp,At random,batl,10000,23.065894701911866
3,At random,airbnb,At random,batl,10000,26.69609629463651
3,At random,yelp,At random,batl,10000,21.880846095809055
3,At random,airbnb,At random,batl,10000,29.557393556238093
3,At random,yelp,At random,batl,10000,23.503021197842514
3,At random,airbnb,At random,batl,10000,26.016076594987446
3,At random,yelp,At random,batl,10000,25.091869479228574
3,At random,airbnb,At random,batl,10000,29.1952720568785
3,At random,yelp,At random,batl,10000,20.583670141466325
3,At random,airbnb,At random,batl,10000,28.127454088951094
3,At random,yelp,At random,batl,10000,29.201867504027867
4,At random,airbnb,At random,batl,10000,29.379029739951825
4,At random,yelp,At random,batl,10000,26.247458574298133
4,At random,airbnb,At random,batl,10000,24.08940271462663
4,At random,yelp,At random,batl,10000,27.910589475686063
4,At random,airbnb,At random,batl,10000,27.002332335043327
4,At random,yelp,At random,batl,10000,23.002794811371086
4,At random,airbnb,At random,batl,10000,21.054953633230078
4,At random,yelp,At random,batl,10000,24.074441552089652
4,At random,airbnb,At random,batl,10000,24.992044148904633
4,At random,yelp,At random,batl,10000,27.721380875564186
4,At random,airbnb,At random,batl,10000,28.315125904294444
4,At random,yelp,At random,batl,10000,22.744925602931378
5,At random,airbnb,At random,batl,10000,22.182106849250705
5,At random,yelp,At random,batl,10000,28.095738695934383
5,At random,airbnb,At random,batl,10000,26.093078119454354
5,At random,yelp,At random,batl,10000,22.26057588962428
5,At random,airbnb,At random,batl,10000,21.622646589880976
5,At random,yelp,At random,batl,10000,25.219162393086187
5,At random,airbnb,At random,batl,10000,22.477556591327502
5,At random,yelp,At random,batl,10000,26.002309072462843
5,At random,airbnb,At random,batl,10000,29.189689400618583
5,At random,yelp,At random,batl,10000,22.081665757110827
5,At random,airbnb,At random,batl,10000,26.480045472493792
5,At random,yelp,At random,batl,10000,29.564819745360015
1,Length,airbnb,Length,batl,500,1.0267854351542265
1,Length,yelp,Length,batl,500,1.0221018089213048
1,Length,airbnb,Length,batl,500,1.3708164852857392
1,Length,yelp,Length,batl,500,1.165161804592267
1,Length,airbnb,Length,batl,500,1.2517222905327927
1,Length,yelp,Length,batl,500,1.0053928228942453
1,Length,airbnb,Length,batl,500,1.1265096018110552
1,Length,yelp,Length,batl,500,1.3136799894089022
1,Length,airbnb,Length,batl,500,1.1589134021309688
1,Length,yelp,Length,batl,500,1.0750518401477045
1,Length,airbnb,Length,batl,500,1.0644974348583922
1,Length,yelp,Length,batl,500,1.4766594618746895
2,Length,airbnb,Length,batl,500,1.440739740412704
2,Length,yelp,Length,batl,500,1.3116534134705515
2,Length,airbnb,Length,batl,500,1.3220896382341876
2,Length,yelp,Length,batl,500,1.3461768217878702
2,Length,airbnb,Length,batl,500,1.2778985496076802
2,Length,yelp,Length,batl,500,1.020165478745174
2,Length,airbnb,Length,batl,500,1.336396541624734
2,Length,yelp,Length,batl,500,1.0926340074106575
2,Length,airbnb,Length,batl,500,1.4015640514509662
2,Length,yelp,Length,batl,500,1.0419305102700007
2,Length,airbnb,Length,batl,500,1.2930858279545359
2,Length,yelp,Length,batl,500,1.3676039732255232
3,Length,airbnb,Length,batl,500,1.095443184927858
3,Length,yelp,Length,batl,500,1.4936213786856873
3,Length,airbnb,Length,batl,500,1.1142066578687517
3,Length,yelp,Length,batl,500,1.2389019230801939
3,Length,airbnb,Length,batl,500,1.088952768380646
3,Length,yelp,Length,batl,500,1.3452277185239463
3,Length,airbnb,Length,batl,500,1.494369406789373
3,Length,yelp,Length,batl,500,1.2672335770455174
3,Length,airbnb,Length,batl,500,1.39485086073802
3,Length,yelp,Length,batl,500,1.225065705570096
3,Length,airbnb,Length,batl,500,1.1070905302600738
3,Length,yelp,Length,batl,500,1.4128428416279868
4,Length,airbnb,Length,batl,500,1.1384830014903422
4,Length,yelp,Length,batl,500,1.1450077888169328
4,Length,airbnb,Length,batl,500,1.1279702217589531
4,Length,yelp,Length,batl,500,1.1689944471540747
4,Length,airbnb,Length,batl,500,1.3866884022165993
4,Length,yelp,Length,batl,500,1.3511959745821556
4,Length,airbnb,Length,batl,500,1.083374861583081
4,Length,yelp,Length,batl,500,1.0074356092512253
4,Length,airbnb,Length,batl,500,1.0008441600066247
4,Length,yelp,Length,batl,500,1.4792858704243321
4,Length,airbnb,Length,batl,500,1.1335360781868709
4,Length,yelp,Length,batl,500,1.2964611899353335
5,Length,airbnb,Length,batl,500,1.4309987651081206
5,Length,yelp,Length,batl,500,1.1947543664339968
5,Length,airbnb,Length,batl,500,1.3173972933056566
5,Length,yelp,Length,batl,500,1.0879902109840345
5,Length,airbnb,Length,batl,500,1.1055489424215708
5,Length,yelp,Length,batl,500,1.2956009430306479
5,Length,airbnb,Length,batl,500,1.0992365267163253
5,Length,yelp,Length,batl,500,1.0449082223068724
5,Length,airbnb,Length,batl,500,1.4261539235835836
5,Length,yelp,Length,batl,500,1.1013240858540747
5,Length,airbnb,Length,batl,500,1.340681318535359
5,Length,yelp,Length,batl,500,1.159542578652815
1,Length,airbnb,Length,batl,1000,2.06681870800856
1,Length,yelp,Length,batl,1000,2.2220967240360743
1,Length,airbnb,Length,batl,1000,2.075386544820364
1,Length,yelp,Length,batl,1000,2.901260496223409
1,Length,airbnb,Length,batl,1000,2.5610964875483586
1,Length,yelp,Length,batl,1000,2.987505035403636
1,Length,airbnb,Length,batl,1000,2.502064288292656
1,Length,yelp,Length,batl,1000,2.9576205338014643
1,Length,airbnb,Length,batl,1000,2.4738249954878078
1,Length,yelp,Length,batl,1000,2.4267969255000272
1,Length,airbnb,Length,batl,1000,2.0511952617785836
1,Length,yelp,Length,batl,1000,2.2058740838265054
2,Length,airbnb,Length,batl,1000,2.5517190799702356
2,Length,yelp,Length,batl,1000,2.994700316478067
2,Length,airbnb,Length,batl,1000,2.9628442584037384
2,Length,yelp,Length,batl,1000,2.1966443209626836
2,Length,airbnb,Length,batl,1000,2.820379091328621
2,Length,yelp,Length,batl,1000,2.577149913905157
2,Length,airbnb,Length,batl,1000,2.537883092859391
2,Length,yelp,Length,batl,1000,2.4650672337096213
2,Length,airbnb,Length,batl,1000,2.0821093807100244
2,Length,yelp,Length,batl,1000,2.9049644728207276
2,Length,airbnb,Length,batl,1000,2.7870388112298174
2,Length,yelp,Length,batl,1000,2.7382280760254933
3,Length,airbnb,Length,batl,1000,2.78203185436806
3,Length,yelp,Length,batl,1000,2.9058882119292333
3,Length,airbnb,Length,batl,1000,2.198475216659979
3,Length,yelp,Length,batl,1000,2.4540733622077178
3,Length,airbnb,Length,batl,1000,2.161243011296918
3,Length,yelp,Length,batl,1000,2.9088556494365303
3,Length,airbnb,Length,batl,1000,2.2768552927409145
3,Length,yelp,Length,batl,1000,2.6996954404010536
3,Length,airbnb,Length,batl,1000,2.400399026355453
3,Length,yelp,Length,batl,1000,2.1864424524491968
3,Length,airbnb,Length,batl,1000,2.822745190911644
3,Length,yelp,Length,batl,1000,2.9377781882879015
4,Length,airbnb,Length,batl,1000,2.2120136317545085
4,Length,yelp,Length,batl,1000,2.468685650589134
4,Length,airbnb,Length,batl,1000,2.300267652788346
4,Length,yelp,Length,batl,1000,2.8586147308553183
4,Length,airbnb,Length,batl,1000,2.801623196207905
4,Length,yelp,Length,batl,1000,2.947300865106448
4,Length,airbnb,Length,batl,1000,2.968498951474543
4,Length,yelp,Length,batl,1000,2.3689586955126645
4,Length,airbnb,Length,batl,1000,2.155159377116344
4,Length,yelp,Length,batl,1000,2.826557205305608
4,Length,airbnb,Length,batl,1000,2.7474503375434716
4,Length,yelp,Length,batl,1000,2.901229498143815
5,Length,airbnb,Length,batl,1000,2.292056114434753
5,Length,yelp,Length,batl,1000,2.644871551127766
5,Length,airbnb,Length,batl,1000,2.2681628621022614
5,Length,yelp,Length,batl,1000,2.9498481336642155
5,Length,airbnb,Length,batl,1000,2.789099890072721
5,Length,yelp,Length,batl,1000,2.060511381647961
5,Length,airbnb,Length,batl,1000,2.6894569793272076
5,Length,yelp,Length,batl,1000,2.4678421644740225
5,Length,airbnb,Length,batl,1000,2.4657462712649663
5,Length,yelp,Length,batl,1000,2.961666156011576
5,Length,airbnb,Length,batl,1000,2.0378616186458696
5,Length,yelp,Length,batl,1000,2.103408417573424
1,Length,airbnb,Length,batl,2500,7.478252162663493
1,Length,yelp,Length,batl,2500,5.44632961896872
1,Length,airbnb,Length,batl,2500,5.311067564345484
1,Length,yelp,Length,batl,2500,5.302812784170134
1,Length,airbnb,Length,batl,2500,5.563986994293708
1,Length,yelp,Length,batl,2500,6.858674408072695
1,Length,airbnb,Length,batl,2500,5.57348805712009
1,Length,yelp,Length,batl,2500,6.0587298914836705
1,Length,airbnb,Length,batl,2500,6.526117544217575
1,Length,yelp,Length,batl,2500,6.6896518296726954
1,Length,airbnb,Length,batl,2500,6.050040896678943
1,Length,yelp,Length,batl,2500,5.5359715088293
2,Length,airbnb,Length,batl,2500,5.127928926017754
2,Length,yelp,Length,batl,2500,5.518899024171684
2,Length,airbnb,Length,batl,2500,7.237879199979683
2,Length,yelp,Length,batl,2500,5.460604624821453
2,Length,airbnb,Length,batl,2500,6.164880968618499
2,Length,yelp,Length,batl,2500,7.35384766275622
2,Length,airbnb,Length,batl,2500,6.156041400555191
2,Length,yelp,Length,batl,2500,7.351906367151797
2,Length,airbnb,Length,batl,2500,5.036248761876408
2,Length,yelp,Length,batl,2500,6.129088227099808
2,Length,airbnb,Length,batl,2500,6.11324681932169
2,Length,yelp,Length,batl,2500,6.6371553580936435
3,Length,airbnb,Length,batl,2500,5.546141329768152
